Name	Biografie
Amthor, Philipp	Geboren am 10. November 1992 in Ueckermünde römisch-katholisch ledig. 2011 Abitur am Greifen-Gymnasium Ueckermünde. 2012 bis 2017 Studium der Rechtswissenschaften an der Ernst-Moritz-Arndt Universität Greifswald (Studienabschluss mit Prädikat), Stipendiat der Konrad-Adenauer-Stiftung; als Nebenbeschäftigung u.a. Mitarbeiter verschiedener Abgeordneter des Deutschen Bundestages und des Landtages Mecklenburg-Vorpommern. 2017 wissenschaftlicher Mitarbeiter an der Ernst-Moritz-Arndt-Universität Greifswald und Mitarbeiter einer Wirtschaftskanzlei in Berlin. Seit 2017 Doktorand. Seit 2008 Mitglied der CDU und der Jungen Union; 2012 bis 2018 Kreisvorsitzender der Jungen Union Vorpommern-Greifswald; seit 2017 Vorsitzender des CDU-Stadtverbandes Ueckermünde; seit 2018 Bundesschatzmeister der Jungen Union Deutschlands; seit 2019 Mitglied des Kreistages Vorpommern-Greifswald. Mitglied des Bundestages seit Oktober 2017. Seit 2018 Vorstandsmitglied im Parlamentskreis Mittelstand der CDU/CSU-Bundestagsfraktion. Mitgliedschaften (Auswahl): Atlantik-Brücke, Diözesanrat der Katholiken im Erzbistum Berlin, Landesjagdverband Mecklenburg-Vorpommern e.V., AMEOS-Regionalbeirat Vorpommern, Verwaltungsrat Sparkasse Uecker-Randow, Europa-Union, BdV, OMV (Bundesvorstand).
Amtsberg, Luise	[Anmerkung der Redaktion: Die biografischen Angaben beruhen auf den Selbstauskünften der Abgeordneten.]
Andres, Dagmar	Geboren am 3. Dezember 1969 in Köln römisch-katholisch zwei Kinder. 1992 bis 1995 Berufsausbildung Steuerfachangestellte; 1995 bis 1996 Berufstätigkeit Steuerbüro/Wirtschaftsprüfer, parallel Fachhochschulreife auf zweitem Bildungsweg; 1996 bis 1999 berufsbegleitendes Studium mit Abschluss „Betriebswirtin Fachrichtung Steuerwesen“; 1998 bis 1999 berufsbegleitender Lehrgang Bilanzbuchhalterin mit Abschluss „geprüfte Bilanzbuchhalterin (IHK)“; 1995 bis 2012 Berufstätigkeit Steuerbüro/Wirtschaftsprüfer; 2012 bis 2017 Landtagsabgeordnete NRW; 2017 bis 2019 Amtsleitung Kämmerei und Steueramt; 2019 bis 2021 Projektentwicklung und Projektmanagement freier Kitaträger mit bilingualer Ausrichtung; 2021 Referentin öffentlich-rechtliches Bankeninstitut (Europaangelegenheiten, Politik und Verbände). 1986 Eintritt in SPD, diverse Vorstandspositionen im OV Schleiden; 2009 bis 2018 Stadtverordnete Erftstadt; 2012 bis 2017 Landtagsabgeordnete NRW; 2013 bis 2019 stellvertretende Vorsitzende des KV Rhein-Erft-SPD; seit 2014 Mitglied des Kreistages im Rhein-Erft-Kreis, dort finanzpolitische Sprecherin der SPD-Fraktion; seit 2016 diverse Vorstandspositionen im OV Erftstadt; seit 2018 Mitglied im Vorstand und Präsidium der NRWSPD; seit 2019 Vorsitzende des KV Rhein-Erft-SPD; seit 2020 stellvertretende Vorsitzende der SPD-Kreistagsfraktion Rhein-Erft-Kreis.  Mitgliedschaften: Hermann-Gmeiner-Fonds (SOS-Kinderdörfer); Verein Lebenshilfe Brühl, Erftstadt, Wesseling e.V.; AWO e.V.;Sonderspaß e.V.; Brühl euer-VfK e.V.; Brühl diverse regionale (Förder-)Vereine.
Annen, Niels	Geboren am 6. April 1973 in Hamburg-Eimsbüttel; verheiratet. 2011 Master of International Public Policy, Johns Hopkins University, Washington D.C., USA; 2010 Bachelor of Arts, Geschichte und Spanisch, Humboldt Universität, Berlin; 1997 bis 1998 Universität Complutense, Madrid, Spanien; 1994 Beginn des Studiums an der Universität Hamburg, Geschichte, Lateinamerikastudien; 1993 bis 1994 Zivildienst, Landesjugendring Hamburg; 1992 Abitur an der Peter-Petersen-Schule Hamburg. Seit 2013 (und 2005 bis 2009) Mitglied des Deutschen Bundestages; 2011 bis 2013 Referent für Internationale Politikanalyse, Friedrich-Ebert-Stiftung, Berlin; 2010 bis 2011 Senior Resident Fellow, German Marshall Fund, Washington D.C., USA. Mitgliedschaften: Arbeiter Samariter Bund; Atlantik-Brücke e.V.; Atlantische Initiative e.V., Mitglied im Beirat; Bundeskanzler-Helmut-Schmidt-Stiftung, stellvertretendes Mitglied im Kuratorium; Deutsche Gesellschaft für Auswärtige Politik, Mitglied im Präsidium; Deutsche Parlamentarische Gesellschaft; Ehemalige Stipendiatinnen und Stipendiaten der Friedrich-Ebert-Stiftung, Mitglied im Beirat; European Council on Foreign Relations; European Leadership Network; Förderverein Willy-Brandt-Zentrum Jerusalem e.V.; Freundeskreis Arbeitslosen Telefonhilfe, Hamburg; Gegen Vergessen – für Demokratie e.V.; Herbert und Elsbeth Weichmann-Stiftung, Mitglied im Vorstand; Historische Kommission beim SPD-Parteivorstand, Mitglied im Beirat; Institut für Friedensforschung und Sicherheitspolitik der Universität Hamburg, Mitglied im Kuratorium; Parlamentarische Versammlung des Europarates, stellvertretendes Mitglied; Sozialdemokratische Partei Deutschlands; Steuermythen.de; Stiftung German Institute of Global and Area Studies, Mitglied im Kuratorium; Ver.di; Zeitschrift für Sozialistische Politik und Gesellschaft, Herausgeber. Seit März 2018 Staatsminister im Auswärtigen Amt; seit 2018 Mitglied im Leitungskreis der Parlamentarischen Linken in der SPD-Bundestagsfraktion;2014 bis 2018 Außenpolitischer Sprecher der SPD-Bundestagsfraktion; 2014 bis 2017 Vorsitzender der Deutsch-Südasiatischen Parlamentariergruppe; 2014 bis 2019 Vorsitzender der „Kommission Internationale Politik“ der SPD; 2014 bis 2018 und 2005 bis 2009 Stellvertretender Sprecher der Parlamentarischen Linken in der SPD-Bundestagsfraktion; 2014 bis 2015 Mitglied der Kommission zur Überprüfung und Sicherung der Parlamentsrechte bei der Mandatierung von Auslandseinsätzen der Bundeswehr; 2003 bis 2019 Mitglied des SPD-Parteivorstands; 2001 bis 2004 Bundesvorsitzender der Jungsozialistinnen und Jungsozialisten in der SPD; 2000 bis 2002 Vizepräsident der International Union of Socialist Youth (IUSY) Wien; 1998 bis 1999 Mitglied des Studierendenparlaments der Universität Hamburg;1990 Vorsitzender der SchülerInnenkammer Hamburg.
Arlt, Johannes	Geboren am 23. April 1984 in Berlin evangelisch-lutherisch verheiratet. Berufsoffizier der Luftwaffe, 37 Jahre. Habe neben der Bundeswehr ein Unternehmen (GmbH, 10 MA) aufgebaut und 10 Jahre als Geschäftsführer Sales and Operations geführt. Erfahrungen in Leadership (u.a. Führung einer Support &amp; Logistic Unit mit 280 Soldaten und MA) strategischer Kommunikation und der Arbeit in und mit internationalen Beziehungen. Proficiency im Bereich Drone/UAV Operations vorhanden. Teilnahme an sieben Auslandseinsätzen in Afghanistan und Mali. 2019 bis 2021 Teilnahme an höherer Management-Ausbildung (Generalstabslehrgang mit Abschluss M.Sc.) an der Swedish Defence University in Stockholm, Abschluss mit Auszeichnung des Königshauses. Verhandlungssichere Sprachkenntnisse in Englisch, Schwedisch, Grundkenntnisse in Dänisch und Französisch. Studienabschlüsse: Staats- und Sozialwissenschaften; Uni Bw München, 2009 Erworbener akademischer Titel: Diplom-Staatswissenschaftler (univ.) Högre officersprogrammet (Masterprogramm in War Science, 142, 5 ECTS-Punkte), Swedish Defence University, Erworbener Akademischeer Abschluss: M.Sc. Mitgliedschaften: SPD, Heimatverband MV, Semper talis Bund e.V.
Aschenberg-Dugnus, Christine	Geboren am 22. September 1959 in Eppstein/Ts. verheiratet ein Kind. 1978 Abitur an der Herderschule Kassel; 1978 bis 1979 Studium der Wirtschaftswissenschaften an der Gesamthochschule Kassel; 1979 bis 1985 Studium der Rechtswissenschaften an der Philipps-Universität Marburg; 1986 Erstes Juristisches Staatsexamen; 1989 Zweites Juristisches Staatsexamen; 1992 bis 2001 Geschäftsführerin des Graduiertenkollegs „Nationales und Internationales Umweltrecht“ am Institut für Umweltschutz-, Wirtschafts- und Steuerstrafrecht der Christian-Albrechts-Universität zu Kiel; Seit 2001 Rechtsanwältin in eigener Kanzlei; 2009 bis 2013 Wahl in den Deutschen Bundestag als Abgeordnete über die Landesliste Schleswig-Holstein, Mitglied im Ausschuss für Gesundheit; 2011 bis 2013 Pflegepolitische Sprecherin der FDP-Bundestagsfraktion; Seit 2017 erneut Mitglied des Deutschen Bundestages; In der 19. WP Mitglied im Ausschuss für Gesundheit als gesundheitspolitische Sprecherin der FDP-Bundestagsfraktion; Mitglied der Deutschen Parlamentarischen Gesellschaft; Mitglied der Deutsch-Französischen Parlamentariergruppe; stellvertretendes Mitglied im Verteidigungsausschuss; stellvertretendes Mitglied für die Parlamentarische Versammlung der NATO (NATO PV); Seit 1997 Mitglied der FDP; 1998 bis 2008 Gemeindevertreterin in Strande; 2001 bis 2009 Vorsitzende des FDP-Kreisverbandes Rendsburg-Eckernförde; 2003 bis 2009 Fraktionsvorsitzende der FDP-Kreistagsfraktion Rendsburg-Eckernförde; Seit 2003 Vorsitzende des Landesfachausschusses Gesundheitspolitik Schleswig-Holstein; 2014 bis 2018 Stellvertretende Vorsitzende, ab Mai 2018 Vorsitzende des Bundesfachausschusses Gesundheitspolitik der FDP.
Audretsch, Andreas	Geboren am 25. Juni 1984 in Stuttgart. 2004 bis 2008  Studium an der Universität Münster, der Freien Universität Berlin und der Universität Potsdam; 2008 bis 2010 Promotion zum Dr. rer. pol. an der Universität Potsdam; seit 2006 Hörfunk-Journalist u.a. für Deutschlandradio, RBB, WDR. 2009 bis 2015 Referent im Deutschen Bundestag; 2015 bis 2021 Pressesprecher bzw. Kommunikation für verschiedene Bundesministerien und das Bundespräsidialamt. Seit 2011 Mitglied bei Bündnis 90/Die Grünen; seit 2012 Mitglied bei ver.di; 2013 bis 2016 Mitglied im Vorstand bzw. Sprecher des Vorstandes von Bündnis 90/Die Grünen Neukölln; 2016 bis 2021 Mitglied des Landesvorstandes von Bündnis 90/Die Grünen Berlin; seit 2017 Policy Fellow im Think Tank „Das Progressive Zentrum“. Seit 2021 Mitglied des Deutschen Bundestages.
Auernhammer, Artur	Geboren am 9. März 1963 in Oberhochstatt, Stadt Weißenburg; evangelisch-lutherisch. Berufsfach- und Berufsaufbauschule für Landwirtschaft in Ansbach; Landwirtschaftliche Lehre; Landwirtschaftliche Fachschule in Weißenburg; Höhere Landbauschule Triersdorf; Studienkurs „Landwirtschaft und Interessenvertretung“ an der Deutschen Landjugendakademie in Bonn–Röttgen; 1995 Übernahme des elterlichen Bauernhofes; 1988 bis 2017 Mitglied im Kreisvorstand,  2002 bis 2016 Ortsobmann, des Bayerischen Bauernverbands (BBV); bis zum Eintritt in den 18. Deutschen Bundestag: ehrenamtlicher Richter am Bayerischen Verwaltungsgerichtshof (Flurbereinigungsgericht); 2012 bis 2016 ehrenamtlicher Richter am Oberlandesgericht Nürnberg (Landwirtschaftssenat). 1994 Eintritt in die CSU; seit 1998 Delegierter für Parteitag und Parteiausschuss der CSU. 1993 Eintritt in die AGL - Arbeitsgemeinschaft Landwirtschaft der CSU; 1998 bis 2013 Bezirksvorsitzender der Arbeitsgemeinschaft Landwirtschaft in Mittelfranken; stellvertretender Landesvorsitzender der AGL; 2011 Gründungsmitglied und bis 2017 stellvertretender Landesvorsitzender des Arbeitskreises Energiewende (AKE) der CSU. Seit 1996 Mitglied des Kreistags Weißenburg-Gunzenhausen, seit 2002 Mitglied des Stadtrates Weißenburg. Mitglied u.a. AG Kommunalpolitik der CDU/CSU-Bundestagsfraktion; Gesprächskreis Landwirtschaft der CDU/CSU-Bundestagsfraktion; Gesprächskreis Jagd, Fischerei und Natur der CDU/CSU-Bundestagsfraktion. Mitglied des Bundestages 2004 bis 2005 und seit 2013.
Aumer, Peter	Geboren am 17. April 1976 in Regensburg; römisch-katholisch; Ausbildung zum Steuerfachgehilfen, Fachoberschule Regensburg; Studium der Betriebswirtschaftslehre, Fachhochschule Regensburg; berufsbegleitendes Masterstudium, Hochschule Weihenstephan mit den Abschlüssen Diplom-Betriebswirt (FH) und MBA. Berufliche Tätigkeit in der Steuerberatung und Wirtschaftsprüfung sowie bei einem Energieversorgungsunternehmen. Mitglied und ehrenamtliches Engagement in zahlreichen Vereinen in Stadt und Landkreis Regensburg. 1996 Eintritt in die CSU und Junge Union. 1998 bis 2009 Ortsvorsitzender Junge Union Regenstauf. 2000 bis 2011 Ortsvorsitzender CSU Ramspau. Seit 2011 CSU-Kreisvorsitzender Regensburg-Land. Seit 2009 Mitglied im CSU Bezirksvorstand Oberpfalz. 2002 bis 2014 und ab 2020 Marktgemeinderat in Regenstauf. 2008 bis 2010 3. Bürgermeister und Jugendbeauftragter Markt Regenstauf. Seit 2002 Kreisrat des Landkreises Regensburg, von 2013 bis 2017 als CSU-Fraktionsvorsitzender. Mitglied des Bundestages 2009 bis 2013 und seit 2017.
Außendorf, Maik	Geboren am 17. August 1971 in Hiltrup (jetzt Münster) verheiratet zwei Kinder. Nach dem Abitur am Immanuel-Kant-Gymnasium Zivildienst in der Schwerstbehinderten-Selbsthilfe in Kehl am Rhein. Studium der Mathematik und Informatik, Diplom-Arbeit über Künstliche Neuronale Netzwerke (KI). Erste berufliche Station bei Siemens in Kolumbien. Seit 1999 im Rheinland zunächst als Consultant und Niederlassungsleiter bei der Suse Linux AG. Seit 2004 Mit-Gründer und Geschäftsführer von IT-Beratungs- und Software Firmen im Open-Source-Umfeld, als Fach-Autor und Sprecher auf internationalen Konferenzen in der Community vernetzt. Angefangen in der Schülervertretung, Vorstand Junge Presse Nordrhein-Westfalen, Fachschaftsvertretung und diverse studentische Gremien. Betriebsrat-Mitgründer und Gesamtbetriebsratsvorsitzender. Seit 2009 bei den GRÜNEN aktiv. Seit 2014 Stadtratsmitglied in Bergisch Gladbach und Sprecher für Verkehr, Wirtschaft und Finanzen. Als Co-Spitzenkandidat einer der Architekten des Ampel-Bündnis zur Ablösung der jahrzehntelangen CDU-Vorherrschaft in der Stadt. Einige Jahre aktives Mitglied der Landesarbeitsgemeinschaft Wirtschaft. Bis zur Wahl in den Bundestag Fraktionsvorsitzender im Stadtrat, Kreisverband-Sprecher Rhein-Berg (2019 bis März 2021), Delegierter für die Landesdelegiertenkonferenz, Kassierer im Vorstand des Bezirksverbandes Mittelrhein. Allgemeine Deutsche Fahrrad-Club e. V. (ADFC), Bund für Umwelt und Naturschutz Deutschland e.V. (BUND), Deutscher Alpenverein e.V. Sektion Rheinland-Köln (DAV), Kölner Eis-Klub e.V., Ski-Club Girkhausen e.V.
